date,rm_sh,rm_shl1,rm_shl2,rm_shl3,rm_shl4,rm_shl5,rm_shl6
2009-06-30,0.5139044272331177,-0.011673117098275284,0.03267931861187964,0.5110048815252329,0.4196701390941623,-0.025773090790021165,0.965473591481954
2009-09-30,-0.2602562950380007,-1.094414497900513,-0.623347131224611,-0.6683259813221267,-0.27454993973176695,-0.2132611152757014,0.6525796030640791
2009-12-31,1.4767663418528876,0.4812183952622851,0.14976775846170795,0.5222199124435516,0.11468784539024536,0.1170545723732884,0.8473232551703186
2010-03-31,0.3757034838068503,-0.287709909911497,-0.44570081400804457,-0.6227916755545158,-0.36280997296956086,-0.3713176488209526,0.6699851250499914
2010-06-30,-0.305280720892692,-1.0963129544097614,-0.6174226747763846,-1.011511632040439,-0.8290404723333564,-0.9491136620651406,-0.27024273873999777
2010-09-30,0.7717639073985911,0.3692293698943619,0.08585344923516008,-0.07649355951609876,0.0547905107595768,-0.2660299465934634,-0.5739138006054532
2010-12-31,0.6398921821247824,0.21414052255169552,0.11313315757839025,0.1330108548900861,0.12012734478436027,0.33360114063136403,-0.025204217099686368
2011-03-31,0.035704328251186294,0.22956703074455498,0.16209823744143298,0.3629765657528619,0.25085341304665615,-0.01372906767749081,0.39302402378386836
2011-06-30,0.3986789637145303,-0.5005031879492138,-0.3931840501397187,-0.7454569612776508,-0.3865293830149154,-0.5872160347052063,-0.04204213647636163
2011-09-30,0.4084448692984918,-0.27390611282996086,-0.3244080841619146,-0.4247468181905585,-0.3808173696392031,-0.3438472844289143,-0.7997457144770019
2011-12-31,0.4154389241439123,0.28509210203928803,0.16571974008231133,0.16501265848380764,-0.12779992551254282,0.3196217253714582,-0.6089197658630526
2012-03-31,-0.3333682477259958,-0.2742057452195659,-0.1377474926595222,0.1578585224049734,-0.31849117457942905,0.2255948559969593,-0.5525076883012354
2012-06-30,0.8991277702340809,0.5808249058966547,-0.048258177001831604,0.11981392477688997,-0.21756212121001064,0.022655978606105163,-0.10557067927760719
2012-09-30,0.1924037756809911,0.23844195897378528,0.11627598062347477,0.0002047455664556519,-0.07112445468280416,-0.3272728770785534,-0.5469792056321232
2012-12-31,-0.4347115145142413,-0.5229267172070341,-0.2074659823108921,-0.2124768161075707,-0.15193320901092386,-0.11596811391721558,-0.2783565281903258
2013-03-31,0.8056846483505065,0.005990966656930479,0.11060441031002995,0.08115685102879108,0.049233960811714474,0.02724929313757538,-0.5461816085055646
2013-06-30,0.6227946961791851,0.3667516479646073,0.4087459117693345,0.1200798543548884,0.09665004803833162,0.2863248578125229,-0.06838924449882021
2013-09-30,0.43584017727644875,-0.3370493672830663,-0.09625737344049498,-0.43090613146831863,-0.11737853244703028,-0.34904839749480504,-0.12852216472426323
2013-12-31,0.5016575449289551,-0.10359644820609802,-0.13268026956011775,-0.40739857155614695,0.15193208455290774,-0.11961625938937381,-0.20331647638860806
2014-03-31,0.181977563479747,0.22100972311304048,-0.026876103678544518,-0.3135014406544128,-0.02392361800999871,0.17658189123253265,0.21436500845285011
2014-06-30,-0.13696888175937963,-0.2816361698792593,-0.08268320658398079,-0.017200416989787793,-0.20881943632009012,0.18218731774189464,0.1050098839952952
2014-09-30,0.4320906568146074,0.045844155646383694,-0.19508859869371903,0.05443185014162563,0.053272248072126854,0.0437225342991563,0.08232744285997072
2014-12-31,-0.23993921225964837,-0.0908582218657515,-0.03658020411566934,-0.12955021802303388,-0.12987800166047817,-0.035012986101970386,-0.15492024392760023
2015-03-31,0.7553603167906666,0.18894669154642804,0.0012739956711533451,-0.004802455758503614,0.07926942215184349,-0.12422341596766372,-0.009833394399368475
2015-06-30,-0.002084713192819761,0.07431253505343897,0.07005832837237919,0.12049457107870847,-0.07967385919040337,0.013836192786726889,-0.03042640904323158
2015-09-30,-0.3944026612034339,-0.16324744265561,-0.08234730076973537,-0.22851595850476764,-0.12776739681261598,-0.1671854261897584,-0.05953603938693736
2015-12-31,0.12955436744511048,0.1226124837060195,-0.09197446287488158,0.005961833812912517,-0.05758145702330967,-0.011572160899658455,-0.014145228798912926
2016-03-31,-0.34647651105571187,-0.30504941292492016,-0.2272226833582269,-0.19931148408700233,-0.1329556237173934,-0.11493049878434447,-0.05586635313637607
2016-06-30,0.26426009827665825,0.18232861964593136,0.14181575125551793,0.1486221748088391,0.14832996298165593,0.15477228193788928,0.06180115185339253
2016-09-30,-0.08004246874877399,-0.07474594581928354,-0.016553908392297523,-0.004107055581942726,0.015200757029322965,-0.028994744685552805,-0.03547768598213953
